date,adj_close
1999-11-12,0.6776
1999-11-19,0.6912
1999-11-26,0.7108
1999-12-03,0.8599
1999-12-10,0.7701
1999-12-17,0.7477
1999-12-23,0.7739
1999-12-31,0.7687
2000-01-07,0.744
2000-01-14,0.751
2000-01-21,0.8323
2000-01-28,0.7598
2000-02-04,0.8075
2000-02-11,0.8131
2000-02-18,0.8318
2000-02-25,0.8252
2000-03-03,0.9571
2000-03-10,0.9402
2000-03-17,0.9346
2000-03-24,1.037
2000-03-31,1.0155
2000-04-07,0.9851
2000-04-14,0.8365
2000-04-20,0.8888
2000-04-28,0.9276
2000-05-05,0.8458
2000-05-12,0.8047
2000-05-19,0.7028
2000-05-26,0.6458
2000-06-02,0.6921
2000-06-09,0.7159
2000-06-16,0.6818
2000-06-23,0.773
2000-06-30,0.7833
2000-07-07,0.8141
2000-07-14,0.8627
2000-07-21,0.8009
2000-07-28,0.7224
2000-08-04,0.7085
2000-08-11,0.7132
2000-08-18,0.7477
2000-08-25,0.8495
2000-09-01,0.9487
2000-09-08,0.8805
2000-09-15,0.8259
2000-09-22,0.7805
2000-09-29,0.3851
2000-10-06,0.3318
2000-10-13,0.3299
2000-10-20,0.2916
2000-10-27,0.2775
2000-11-03,0.3327
2000-11-10,0.285
2000-11-17,0.2767
2000-11-24,0.2888
2000-12-01,0.2551
2000-12-08,0.2252
2000-12-15,0.2103
2000-12-22,0.2243
2000-12-29,0.2225
2001-01-05,0.2448
2001-01-12,0.2571
2001-01-19,0.2916
2001-01-26,0.2925
2001-02-02,0.3084
2001-02-09,0.2859
2001-02-16,0.2841
2001-02-23,0.2813
2001-03-02,0.2879
2001-03-09,0.3028
2001-03-16,0.2934
2001-03-23,0.3439
2001-03-30,0.33
2001-04-06,0.3079
2001-04-12,0.3353
2001-04-20,0.3745
2001-04-27,0.3918
2001-05-04,0.3851
2001-05-11,0.3417
2001-05-18,0.3519
2001-05-25,0.3404
2001-06-01,0.3124
2001-06-08,0.3188
2001-06-15,0.3057
2001-06-22,0.3329
2001-06-29,0.3477
2001-07-06,0.3294
2001-07-13,0.3716
2001-07-20,0.2988
2001-07-27,0.2835
2001-08-03,0.2916
2001-08-10,0.2844
2001-08-17,0.2702
2001-08-24,0.2777
2001-08-31,0.2774
2001-09-07,0.2584
2001-09-10,0.2598
2001-09-21,0.2352
2001-09-28,0.2319
2001-10-05,0.2414
2001-10-12,0.2693
2001-10-19,0.2737
2001-10-26,0.2792
2001-11-02,0.2777
2001-11-09,0.2798
2001-11-16,0.2837
2001-11-23,0.2967
2001-11-30,0.3185
2001-12-07,0.3371
2001-12-14,0.3049
2001-12-21,0.314
2001-12-28,0.3354
2002-01-04,0.3543
2002-01-11,0.3148
2002-01-18,0.3315
2002-01-25,0.3477
2002-02-01,0.365
2002-02-08,0.3593
2002-02-15,0.3574
2002-02-22,0.3401
2002-03-01,0.3507
2002-03-08,0.3688
2002-03-15,0.3731
2002-03-22,0.3602
2002-03-28,0.354
2002-04-05,0.37
2002-04-12,0.3748
2002-04-19,0.3736
2002-04-26,0.3441
2002-05-03,0.3516
2002-05-10,0.3487
2002-05-17,0.374
2002-05-24,0.3611
2002-05-31,0.3484
2002-06-07,0.32
2002-06-14,0.3006
2002-06-21,0.252
2002-06-28,0.265
2002-07-05,0.2802
2002-07-12,0.2617
2002-07-19,0.2237
2002-07-26,0.2144
2002-08-02,0.2161
2002-08-09,0.2243
2002-08-16,0.2364
2002-08-23,0.2352
2002-08-30,0.2206
2002-09-06,0.215
2002-09-13,0.2119
2002-09-20,0.2224
2002-09-27,0.2201
2002-10-04,0.2098
2002-10-11,0.217
2002-10-18,0.2144
2002-10-25,0.2306
2002-11-01,0.2446
2002-11-08,0.2369
2002-11-15,0.2385
2002-11-22,0.2394
2002-11-29,0.2318
2002-12-06,0.2236
2002-12-13,0.2212
2002-12-20,0.2115
2002-12-27,0.2103
2003-01-03,0.2228
2003-01-10,0.2201
2003-01-17,0.2109
2003-01-24,0.2064
2003-01-31,0.2147
2003-02-07,0.2116
2003-02-14,0.2194
2003-02-21,0.2243
2003-02-28,0.2245
2003-03-07,0.2173
2003-03-14,0.221
2003-03-21,0.2243
2003-03-28,0.2179
2003-04-04,0.2155
2003-04-11,0.1974
2003-04-17,0.1962
2003-04-25,0.1996
2003-05-02,0.2161
2003-05-09,0.2737
2003-05-16,0.2811
2003-05-23,0.274
2003-05-30,0.2684
2003-06-06,0.2565
2003-06-13,0.2605
2003-06-20,0.2871
2003-06-27,0.2801
2003-07-03,0.2861
2003-07-11,0.2968
2003-07-18,0.3119
2003-07-25,0.3221
2003-08-01,0.31
2003-08-08,0.2937
2003-08-15,0.2947
2003-08-22,0.3122
2003-08-29,0.3381
2003-09-05,0.3365
2003-09-12,0.3454
2003-09-19,0.3377
2003-09-26,0.3094
2003-10-03,0.3244
2003-10-10,0.3541
2003-10-17,0.3402
2003-10-24,0.338
2003-10-31,0.3423
2003-11-07,0.3365
2003-11-14,0.3209
2003-11-21,0.3033
2003-11-28,0.3127
2003-12-05,0.3118
2003-12-12,0.3124
2003-12-19,0.2946
2003-12-26,0.3107
2004-01-02,0.3182
2004-01-09,0.3439
2004-01-16,0.3398
2004-01-23,0.3374
2004-01-30,0.3374
2004-02-06,0.3396
2004-02-13,0.3439
2004-02-20,0.335
2004-02-27,0.3577
2004-03-05,0.3999
2004-03-12,0.4121
2004-03-19,0.3867
2004-03-26,0.4044
2004-04-02,0.4112
2004-04-08,0.4117
2004-04-16,0.4364
2004-04-23,0.4142
2004-04-30,0.3855
2004-05-07,0.3988
2004-05-14,0.4047
2004-05-21,0.4054
2004-05-28,0.4196
2004-06-04,0.4304
2004-06-10,0.4597
2004-06-18,0.4921
2004-06-25,0.504
2004-07-02,0.4648
2004-07-09,0.4491
2004-07-16,0.4815
2004-07-23,0.4591
2004-07-30,0.4836
2004-08-06,0.4453
2004-08-13,0.4612
2004-08-20,0.4606
2004-08-27,0.5137
2004-09-03,0.5268
2004-09-10,0.5364
2004-09-17,0.5554
2004-09-24,0.5576
2004-10-01,0.5783
2004-10-08,0.5841
2004-10-15,0.6804
2004-10-22,0.709
2004-10-29,0.7836
2004-11-05,0.8183
2004-11-12,0.83
2004-11-19,0.825
2004-11-26,0.9653
2004-12-03,0.9373
2004-12-10,0.9743
2004-12-17,0.9719
2004-12-23,0.9572
2004-12-31,0.963
2005-01-07,1.0356
2005-01-14,1.0498
2005-01-21,1.0541
2005-01-28,1.1063
2005-02-04,1.179
2005-02-11,1.2144
2005-02-18,1.2982
2005-02-25,1.3308
2005-03-04,1.2804
2005-03-11,1.2044
2005-03-18,1.2849
2005-03-24,1.2711
2005-04-01,1.223
2005-04-08,1.3082
2005-04-15,1.0573
2005-04-22,1.0617
2005-04-29,1.0785
2005-05-06,1.1138
2005-05-13,1.0399
2005-05-20,1.1231
2005-05-27,1.2131
2005-06-03,1.1437
2005-06-10,1.071
2005-06-17,1.1458
2005-06-24,1.1293
2005-07-01,1.0917
2005-07-08,1.144
2005-07-15,1.2427
2005-07-22,1.316
2005-07-29,1.2756
2005-08-05,1.2858
2005-08-12,1.3788
2005-08-19,1.3707
2005-08-26,1.368
